video_id,caption,caption_len_chars,caption_len_words,mean_flow,NOTTA_psnr,NOTTA_ssim,NOTTA_lpips,ADA_psnr,ADA_ssim,ADA_lpips,ADA_NOPROMPT_psnr,ADA_NOPROMPT_ssim,ADA_NOPROMPT_lpips,LORA_R8_TTA_psnr,LORA_R8_TTA_ssim,LORA_R8_TTA_lpips,LORA_R8_TTA_NOPROMPT_psnr,LORA_R8_TTA_NOPROMPT_ssim,LORA_R8_TTA_NOPROMPT_lpips,TL_BARE_R2_psnr,TL_BARE_R2_ssim,TL_BARE_R2_lpips,TL_TIED_R2_psnr,TL_TIED_R2_ssim,TL_TIED_R2_lpips,ADA_dpsnr,ADA_dssim,ADA_dlpips,ADA_NOPROMPT_dpsnr,ADA_NOPROMPT_dssim,ADA_NOPROMPT_dlpips,LORA_R8_TTA_dpsnr,LORA_R8_TTA_dssim,LORA_R8_TTA_dlpips,LORA_R8_TTA_NOPROMPT_dpsnr,LORA_R8_TTA_NOPROMPT_dssim,LORA_R8_TTA_NOPROMPT_dlpips,TL_BARE_R2_dpsnr,TL_BARE_R2_dssim,TL_BARE_R2_dlpips,TL_TIED_R2_dpsnr,TL_TIED_R2_dssim,TL_TIED_R2_dlpips
panda_0000,"['A close up of a truck with its hood open.', 'The person is demonstrating how to remove a headlight from a car.', ""A close up of a person's legs and a car headlight.""]",168,33,2.341186,15.060582,0.428101,0.280096,15.225421,0.435557,0.278605,15.282400,0.438134,0.278287,15.090341,0.429480,0.279686,15.069089,0.428508,0.280016,15.054985,0.427935,0.280099,15.064242,0.428228,0.280038,0.164839,0.007455,-0.001491,0.221818,0.010033,-0.001809,0.029759,0.001379,-0.000410,0.008507,0.000407,-0.000080,-0.005598,-0.000167,0.000003,0.003660,0.000127,-0.000058
panda_0001,"['A young woman is standing in front of a kitchen counter. she has tattoos on her arms and is wearing a black tank top.', 'A woman with tattoos on her arms is standing in a kitchen preparing food.', 'A person is mixing ingredients in a bowl with an electric mixer.']",266,50,1.752535,19.624422,0.677412,0.256609,20.178478,0.682973,0.237670,20.290751,0.686781,0.233287,19.429721,0.674176,0.263239,19.542962,0.676479,0.258775,19.560994,0.675669,0.258410,19.694129,0.678607,0.252501,0.554056,0.005560,-0.018940,0.666329,0.009369,-0.023323,-0.194701,-0.003236,0.006630,-0.081460,-0.000933,0.002166,-0.063429,-0.001744,0.001800,0.069707,0.001194,-0.004108
panda_0002,"['The room has a white wall and a bookshelf.', 'A close up of a turntable with a record on it.', 'The sink is made of stainless steel and has a drain in the center.']",166,34,0.918794,12.074648,0.190117,0.750043,11.590580,0.185647,0.762213,11.708158,0.186882,0.760311,11.956544,0.188981,0.749986,11.983821,0.189346,0.752266,12.091392,0.193356,0.747504,12.066007,0.189618,0.750677,-0.484068,-0.004470,0.012170,-0.366490,-0.003235,0.010269,-0.118104,-0.001136,-0.000057,-0.090827,-0.000771,0.002223,0.016744,0.003240,-0.002539,-0.008641,-0.000499,0.000635
panda_0003,"['A police officer in a video game.', 'A police officer in uniform stands in a screenshot from the game.', 'There is a tall skyscraper in the city with many tall buildings around it. the sky is clear and blue, and there are several tall buildings in the background.']",267,48,0.132129,16.493716,0.418281,0.700469,16.251467,0.417257,0.698675,16.278463,0.419041,0.702001,16.408931,0.416784,0.699575,16.424892,0.418824,0.702790,16.474705,0.423184,0.700921,16.503330,0.422483,0.698480,-0.242249,-0.001024,-0.001794,-0.215253,0.000761,0.001532,-0.084786,-0.001496,-0.000894,-0.068825,0.000543,0.002321,-0.019011,0.004903,0.000452,0.009614,0.004202,-0.001989
panda_0004,"['A black book with the words photo critique on it.', 'A photo of a white dog standing near a body of water.', 'The control panel of a machine with buttons on it.']",164,32,0.594255,33.095877,0.942063,0.027648,33.044228,0.939939,0.027904,33.116937,0.940654,0.027738,33.057030,0.941325,0.027752,33.147124,0.941838,0.027735,33.090749,0.942213,0.027727,33.078773,0.941918,0.027695,-0.051649,-0.002124,0.000256,0.021060,-0.001409,0.000090,-0.038847,-0.000738,0.000104,0.051247,-0.000225,0.000087,-0.005128,0.000149,0.000079,-0.017104,-0.000146,0.000047
panda_0005,"['The person is holding a plastic bowl filled with cherry tomatoes on a kitchen counter.', 'A person is making a salad with cherry tomatoes in a glass bowl.', 'The tortilla is being cooked in a pan on a stove.']",211,39,0.192475,18.675917,0.855908,0.169486,19.156691,0.873472,0.137786,18.764385,0.857759,0.163796,18.665309,0.855978,0.169831,18.667285,0.855539,0.170605,18.662029,0.855615,0.170389,18.690115,0.855988,0.170003,0.480774,0.017564,-0.031700,0.088468,0.001851,-0.005689,-0.010608,0.000071,0.000346,-0.008632,-0.000368,0.001120,-0.013888,-0.000293,0.000903,0.014198,0.000080,0.000517
panda_0006,"['A small boat is sailing in the ocean, with mountains in the background.', 'A man in a colorful shirt is talking to another man.', 'An aerial view of a large area of tropical rainforest with a river in the foreground and a large area of trees in the background.']",264,49,2.472373,22.542443,0.808820,0.248845,22.691627,0.802830,0.259829,22.874907,0.805573,0.256420,22.648854,0.806663,0.248295,22.792434,0.809468,0.247600,22.572362,0.809090,0.247985,22.581802,0.809327,0.248063,0.149183,-0.005990,0.010984,0.332464,-0.003247,0.007575,0.106411,-0.002156,-0.000550,0.249991,0.000649,-0.001245,0.029919,0.000270,-0.000860,0.039359,0.000508,-0.000782
panda_0007,"['The new ford cars are on display at a car show.', 'A close up of the exhaust pipe of a car.', 'A ford mustang is on display in a showroom.']",142,30,0.595265,19.671059,0.780382,0.078985,19.930337,0.794810,0.076927,19.811899,0.787085,0.078037,19.631632,0.776962,0.079268,19.577836,0.776544,0.079788,19.602381,0.779373,0.079620,19.571022,0.776615,0.079971,0.259279,0.014427,-0.002058,0.140841,0.006703,-0.000948,-0.039427,-0.003421,0.000282,-0.093222,-0.003838,0.000803,-0.068677,-0.001010,0.000635,-0.100037,-0.003768,0.000986
panda_0008,"['A sign that says ""no more stolen sisters"".', 'A poster on a wall with a message on it.', 'A sign that reads ""sisters all united"".']",133,25,0.139114,25.733480,0.796148,0.055288,25.705724,0.795637,0.055399,25.694954,0.794994,0.055510,25.764295,0.797225,0.055076,25.727008,0.795762,0.055440,25.705062,0.795484,0.055528,25.750578,0.796472,0.055214,-0.027756,-0.000511,0.000111,-0.038525,-0.001154,0.000222,0.030815,0.001077,-0.000213,-0.006472,-0.000386,0.000152,-0.028418,-0.000664,0.000240,0.017099,0.000324,-0.000074
panda_0009,"['A person holding a piece of paper with squares on it.', 'There is a toy tank made of plastic with a red, white, and green camouflage pattern.', 'A close up of a camouflaged tank with a checkered pattern.']",207,38,0.168066,6.867868,0.463365,0.657545,6.715494,0.461694,0.660729,6.675417,0.461961,0.655254,7.005015,0.462119,0.674167,6.993591,0.454004,0.678807,6.979187,0.461908,0.654000,7.119933,0.464900,0.655107,-0.152374,-0.001671,0.003184,-0.192451,-0.001403,-0.002290,0.137147,-0.001246,0.016622,0.125723,-0.009361,0.021262,0.111319,-0.001457,-0.003545,0.252065,0.001535,-0.002437
